Image_Key,Filename,Rating,Chainage,Latitude,Longitude
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.360 1.JPG,N04D226C    0.360 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.365 1.JPG,N04D226C    0.365 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.370 1.JPG,N04D226C    0.370 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.375 1.JPG,N04D226C    0.375 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.380 1.JPG,N04D226C    0.380 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.385 1.JPG,N04D226C    0.385 1.JPG,10,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.390 1.JPG,N04D226C    0.390 1.JPG,8,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.395 1.JPG,N04D226C    0.395 1.JPG,8,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.400 1.JPG,N04D226C    0.400 1.JPG,9,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.405 1.JPG,N04D226C    0.405 1.JPG,9,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.410 1.JPG,N04D226C    0.410 1.JPG,9,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.415 1.JPG,N04D226C    0.415 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.420 1.JPG,N04D226C    0.420 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.425 1.JPG,N04D226C    0.425 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.430 1.JPG,N04D226C    0.430 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.435 1.JPG,N04D226C    0.435 1.JPG,6,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.440 1.JPG,N04D226C    0.440 1.JPG,6,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.445 1.JPG,N04D226C    0.445 1.JPG,6,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.450 1.JPG,N04D226C    0.450 1.JPG,6,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.455 1.JPG,N04D226C    0.455 1.JPG,5,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.460 1.JPG,N04D226C    0.460 1.JPG,5,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.465 1.JPG,N04D226C    0.465 1.JPG,5,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.470 1.JPG,N04D226C    0.470 1.JPG,5,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.475 1.JPG,N04D226C    0.475 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.480 1.JPG,N04D226C    0.480 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.485 1.JPG,N04D226C    0.485 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.490 1.JPG,N04D226C    0.490 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.495 1.JPG,N04D226C    0.495 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.500 1.JPG,N04D226C    0.500 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.505 1.JPG,N04D226C    0.505 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.510 1.JPG,N04D226C    0.510 1.JPG,3,,,
